FactSchema Name,Item ID,Item Type,Hierarchy,Conformed Hierarchy,Conformed Hierarchy Attribute,Item Name,From Item ID,To Item ID,Description,Sample Values,Notes,Is Multiple,Is Optional,Is Shared,Is Descriptive,Is Cross Dimensional,Is Convergence,Temporal Scenario,Source Table,Source Field,Logical Name,SQL Type,Length,Precision,Scale
Shop Ticket,Product_Brand Group,Attribute,Product,Product,Brand Group,Brand Group,Product_Brand,,A group of brands,,,,False,False,False,False,False,UpToDate,,,BRAND_GROUP,VARCHAR,255,,
Shop Ticket,Product_Made In,Attribute,Product,Product,Made In,Made In,Product_SKU,,The country where the product has been manufactured,"China, Korea",,,False,False,False,False,False,UpToDate,,,MADE_IN,VARCHAR,255,,
Shop Ticket,Agent_Controller,Attribute,Agent,Agent,Controller,Controller,,,Agent supervisors who periodically check agents on a random basis,,,,False,False,False,False,False,UpToDate,,,CONTROLLER,VARCHAR,255,,
Shop Ticket,,Arc,,,,,Time_Semester,Time_Year,,,,False,False,,,,,,,,,,,,
Shop Ticket,,Arc,,,,,Time_4-Month Period,Time_Year,,,,False,False,,,,,,,,,,,,
Shop Ticket,,Arc,,,,,Agent_Agent,Agent_Controller,,,,True,False,,,,,,,,,,,,
Traffic Counter,Date_Date,Attribute,Date,Time,Date,Date,FACT,,A specific day,"01-01-2014, 01-02-2014, 01-03-2014",,,False,False,False,False,False,UpToDate,,,DATE,VARCHAR,255,,
Traffic Counter,Date_Month In Year,Attribute,Date,Time,Month In Year,Month In Year,Date_Date,,A specific month,"Jan 14, Feb 14, Mar 15",,,False,False,False,False,False,UpToDate,,,MONTH_IN_YEAR,VARCHAR,255,,
Traffic Counter,Date_Year,Attribute,Date,Time,Year,Year,,,A specific year,"2013, 2014, 2015",,,False,False,False,False,True,UpToDate,,,YEAR,VARCHAR,255,,
Traffic Counter,Date_Week,Attribute,Date,Time,Week,Week,Date_Date,,A specific week,"W1, W2, W3",A week can be stay in two differents months,,False,False,False,False,False,UpToDate,,,WEEK,VARCHAR,255,,
Traffic Counter,Date_Quarter,Attribute,Date,Time,Quarter,Quarter,Date_Month In Year,,A specific quarter,"Q1 14, Q2 14, Q3 14, Q4 14",,,False,False,False,False,False,UpToDate,,,QUARTER,VARCHAR,255,,
Traffic Counter,Date_Semester,Attribute,Date,Time,Semester,Semester,Date_Quarter,,A specific semester,"S1 14, S2 14",,,False,False,False,False,False,UpToDate,,,SEMESTER,VARCHAR,255,,
Traffic Counter,Date_4-Month Period,Attribute,Date,Time,4-Month Period,4-Month Period,Date_Month In Year,,,"3MP1 13, 3MP2 13, 3MP3 14",,,False,False,False,False,False,UpToDate,,,_4_MONTH_PERIOD,VARCHAR,255,,
Traffic Counter,Date_Month,Attribute,Date,Time,Month,Month,Date_Month In Year,,A generic month,"Jan, Feb, Mar",,,False,False,False,False,False,UpToDate,,,MONTH,VARCHAR,255,,
Traffic Counter,Store_Store,Attribute,Store,Store,Store,Store,FACT,,The store where a product is being sold,,,,False,False,False,False,False,UpToDate,,,STORE,VARCHAR,255,,
Traffic Counter,Store_IsConnected,Attribute,Store,Store,IsConnected,IsConnected,Store_Store,,Whether the store is connected to Internet or not,"Y, N",,,False,False,False,False,False,UpToDate,,,ISCONNECTED,VARCHAR,255,,
Traffic Counter,Store_Location Type,Attribute,Store,Store,Location Type,Location Type,Store_Store,,The environment where the store is located,"Old Town, Mall, Highway shopping center",,,False,False,False,False,False,UpToDate,,,LOCATION_TYPE,VARCHAR,255,,
Traffic Counter,Store_City,Attribute,Store,Store,City,City,Store_Store,,A specific city or town,"Rome, London, Miami",,,False,False,False,False,False,UpToDate,,,CITY,VARCHAR,255,,
Traffic Counter,Store_County,Attribute,Store,Store,County,County,Store_City,,The county where a city belongs (if specified),"Monterey, Orange",,,True,False,False,False,False,UpToDate,,,COUNTY,VARCHAR,255,,
Traffic Counter,Store_State,Attribute,Store,Store,State,State,Store_County,,The state where a city belongs (for USA only),"Florida, California",,,True,False,False,False,False,UpToDate,,,STATE,VARCHAR,255,,
Traffic Counter,Store_Country,Attribute,Store,Store,Country,Country,Store_State,,The nation of a city,"Italy, UK, USA",,,False,False,False,False,False,UpToDate,,,COUNTRY,VARCHAR,255,,
Traffic Counter,Store_Area,Attribute,Store,Store,Area,Area,Store_Country,,The geographic area of a state,"North Europe, North America",,,False,False,False,False,False,UpToDate,,,AREA,VARCHAR,255,,
Traffic Counter,Store_Address,Attribute,Store,Store,Address,Address,Store_Store,,,,,,False,False,True,False,False,UpToDate,,,ADDRESS,VARCHAR,255,,
Traffic Counter,Store_Sales District,Attribute,Store,Store,Sales District,Sales District,Store_Store,,A geography-based grouping of stores,,,,False,False,False,False,False,UpToDate,,,SALES_DISTRICT,VARCHAR,255,,
Traffic Counter,Hour_Hour,Attribute,Hour,,,Hour,FACT,,Part of the day,"8-10, 10-12, 12-14",,,False,False,False,False,False,UpToDate,,,HOUR,VARCHAR,255,,
Traffic Counter,,Arc,,,,,Date_Semester,Date_Year,,,,False,False,,,,,,,,,,,,
Traffic Counter,,Arc,,,,,Date_4-Month Period,Date_Year,,,,False,False,,,,,,,,,,,,
Third Party Warehouse Stock,Product_SKU,Attribute,Product,Product,SKU,SKU,FACT,,Stock keeping unit,"Sneakers British Knight Leather Red M, Sneakers British Knight Suede Brown XL, Sneakers Sporty Lady Faux Leather White S","These attributes include, but are not limited to, product description, material, color, size.
Can also refer to a unique identifier or code that refers to the particular stock keeping unit",,False,False,False,False,False,UpToDate,,,SKU,VARCHAR,255,,
Third Party Warehouse Stock,Product_Subtype,Attribute,Product,Product,Subtype,Subtype,Product_SKU,,A classification of products,"Lady Sports Multipurpose Footwear, Lady Sandals Casual Footwear, Man Leathers Formal Footwear",,,False,False,False,False,False,UpToDate,,,SUBTYPE,VARCHAR,255,,
Third Party Warehouse Stock,Product_Type,Attribute,Product,Product,Type,Type,Product_Subtype,,A classification of products,"Coats, casual, suits",,,False,False,False,False,False,UpToDate,,,TYPE,VARCHAR,255,,
Third Party Warehouse Stock,Product_Customer Type,Attribute,Product,Product,Customer Type,Customer Type,Product_Subtype,,The type of customer the product is targeted to,"Junior, baby, adult",,,False,False,False,False,False,UpToDate,,,CUSTOMER_TYPE,VARCHAR,255,,
Third Party Warehouse Stock,Product_Customer Gender,Attribute,Product,Product,Customer Gender,Customer Gender,Product_SKU,,The gender the product is targeted to,"Male, female, unisex",,,False,False,False,False,False,UpToDate,,,CUSTOMER_GENDER,VARCHAR,255,,
Third Party Warehouse Stock,Product_Category,Attribute,Product,Product,Category,Category,Product_Type,,A classification of products,"Footwear, apparel, accessories",,,False,False,False,False,False,UpToDate,,,CATEGORY,VARCHAR,255,,
Third Party Warehouse Stock,Time_Date,Attribute,Time,Time,Date,Date,FACT,,A specific day,"01-01-2014, 01-02-2014, 01-03-2014",,,False,False,False,False,False,UpToDate,,,DATE,VARCHAR,255,,
Third Party Warehouse Stock,Time_Month In Year,Attribute,Time,Time,Month In Year,Month In Year,Time_Date,,A specific month,"Jan 14, Feb 14, Mar 15",,,False,False,False,False,False,UpToDate,,,MONTH_IN_YEAR,VARCHAR,255,,
Third Party Warehouse Stock,Time_Year,Attribute,Time,Time,Year,Year,,,A specific year,"2013, 2014, 2015",,,False,False,False,False,True,UpToDate,,,YEAR,VARCHAR,255,,
Third Party Warehouse Stock,Time_Week,Attribute,Time,Time,Week,Week,Time_Date,,A specific week,"W1, W2, W3",A week can be stay in two differents months,,False,False,False,False,False,UpToDate,,,WEEK,VARCHAR,255,,
Third Party Warehouse Stock,Time_Quarter,Attribute,Time,Time,Quarter,Quarter,Time_Month In Year,,A specific quarter,"Q1 14, Q2 14, Q3 14, Q4 14",,,False,False,False,False,False,UpToDate,,,QUARTER,VARCHAR,255,,
Third Party Warehouse Stock,Time_Semester,Attribute,Time,Time,Semester,Semester,Time_Quarter,,A specific semester,"S1 14, S2 14",,,False,False,False,False,False,UpToDate,,,SEMESTER,VARCHAR,255,,
Third Party Warehouse Stock,Time_4-Month Period,Attribute,Time,Time,4-Month Period,4-Month Period,Time_Month In Year,,,"3MP1 13, 3MP2 13, 3MP3 14",,,False,False,False,False,False,UpToDate,,,_4_MONTH_PERIOD,VARCHAR,255,,
Third Party Warehouse Stock,Product_Size,Attribute,Product,Product,Size,Size,Product_SKU,,The size of the product,"S, M, L, XL",,,False,False,False,False,False,UpToDate,,,SIZE,VARCHAR,255,,
Third Party Warehouse Stock,Product_Color,Attribute,Product,Product,Color,Color,Product_SKU,,The specific color of the product,"Dark blu, light blu",,,False,False,False,False,False,UpToDate,,,COLOR,VARCHAR,255,,
Third Party Warehouse Stock,Product_Macro Color,Attribute,Product,Product,Macro Color,Macro Color,Product_Color,,A group of colors,"Blu, red",,,False,False,False,False,False,UpToDate,,,MACRO_COLOR,VARCHAR,255,,
Third Party Warehouse Stock,Product_Age Range,Attribute,Product,Product,Age Range,Age Range,Product_Customer Type,,,"1-5, 6-10, 11-16",,,False,False,True,False,False,UpToDate,,,AGE_RANGE,VARCHAR,255,,
Third Party Warehouse Stock,Product_Brand,Attribute,Product,Product,Brand,Brand,Product_SKU,,The brand of the product,,,,False,False,False,False,False,UpToDate,,,BRAND,VARCHAR,255,,
Third Party Warehouse Stock,Product_Brand Group,Attribute,Product,Product,Brand Group,Brand Group,Product_Brand,,A group of brands,,,,False,False,False,False,False,UpToDate,,,BRAND_GROUP,VARCHAR,255,,
Third Party Warehouse Stock,Time_Month,Attribute,Time,Time,Month,Month,Time_Month In Year,,A generic month,"Jan, Feb, Mar",,,False,False,False,False,False,UpToDate,,,MONTH,VARCHAR,255,,
Third Party Warehouse Stock,Product_Made In,Attribute,Product,Product,Made In,Made In,Product_SKU,,The country where the product has been manufactured,"China, Korea",,,False,False,False,False,False,UpToDate,,,MADE_IN,VARCHAR,255,,
Third Party Warehouse Stock,Warehouse Type_Warehouse Type,Attribute,Warehouse Type,Warehouse,Warehouse Type,Warehouse Type,FACT,,A classification of warehouses,"Third party warehouse, POP, Stock Production, Other",,,False,False,False,False,False,UpToDate,,,WAREHOUSE_TYPE,VARCHAR,255,,
Third Party Warehouse Stock,Warehouse City_Warehouse City,Attribute,Warehouse City,Warehouse,City,Warehouse City,FACT,,A specific city or town,"Rome, London, Miami",,,False,False,False,False,False,UpToDate,,,CITY,VARCHAR,255,,
Third Party Warehouse Stock,Warehouse City_County,Attribute,Warehouse City,Warehouse,County,County,Warehouse City_Warehouse City,,The county where a city belongs (if specified),"Monterey, Orange",,,True,False,False,False,False,UpToDate,,,COUNTY,VARCHAR,255,,
Third Party Warehouse Stock,Warehouse City_State,Attribute,Warehouse City,Warehouse,State,State,Warehouse City_County,,The state where a city belongs (for USA only),"Florida, California",,,True,False,False,False,False,UpToDate,,,STATE,VARCHAR,255,,
Third Party Warehouse Stock,Warehouse City_Country,Attribute,Warehouse City,Warehouse,Country,Country,Warehouse City_State,,The nation of a city,"Italy, UK, USA",,,False,False,False,False,False,UpToDate,,,COUNTRY,VARCHAR,255,,
Third Party Warehouse Stock,Warehouse City_Area,Attribute,Warehouse City,Warehouse,Area,Area,Warehouse City_Country,,The geographic area of a state,"North Europe, North America",,,False,False,False,False,False,UpToDate,,,AREA,VARCHAR,255,,
Third Party Warehouse Stock,,Arc,,,,,Time_Semester,Time_Year,,,,False,False,,,,,,,,,,,,
Third Party Warehouse Stock,,Arc,,,,,Time_4-Month Period,Time_Year,,,,False,False,,,,,,,,,,,,
Warehouse Movement,Cause_Cause,Attribute,Cause,,,Cause,FACT,,The reason for moving goods,,,,False,False,False,False,False,UpToDate,,,CAUSE,VARCHAR,255,,
Warehouse Movement,Merchandise Type_Merchandise Type,Attribute,Merchandise Type,,,Merchandise Type,FACT,,"Includes disciplines and discounting, physical presentation of products and displays, etc.","Football UK Teams, Disney Toons, Far West Men wears ",,,False,False,False,False,False,UpToDate,,,MERCHANDISE_TYPE,VARCHAR,255,,
Warehouse Movement,Warehouse_Warehouse,Attribute,Warehouse,Warehouse,Warehouse,Warehouse,FACT,,The warehouse where a product is stored,,,,False,False,False,False,False,UpToDate,,,WAREHOUSE,VARCHAR,255,,
Warehouse Movement,in_Date,Attribute,in,Time,Date,Date,,,A specific day,"01-01-2014, 01-02-2014, 01-03-2014",,,False,True,False,False,False,UpToDate,,,DATE,VARCHAR,255,,
Warehouse Movement,in_Month In Year,Attribute,in,Time,Month In Year,Month In Year,in_Date,,A specific month,"Jan 14, Feb 14, Mar 15",,,False,False,False,False,False,UpToDate,,,MONTH_IN_YEAR,VARCHAR,255,,
Warehouse Movement,in_Year,Attribute,in,Time,Year,Year,,,A specific year,"2013, 2014, 2015",,,False,False,False,False,True,UpToDate,,,YEAR,VARCHAR,255,,
Warehouse Movement,in_Week,Attribute,in,Time,Week,Week,in_Date,,A specific week,"W1, W2, W3",A week can be stay in two differents months,,False,False,False,False,False,UpToDate,,,WEEK,VARCHAR,255,,
Warehouse Movement,Warehouse_Warehouse Type,Attribute,Warehouse,Warehouse,Warehouse Type,Warehouse Type,,,A classification of warehouses,"Third party warehouse, POP, Stock Production, Other",,,False,False,False,False,False,UpToDate,,,WAREHOUSE_TYPE,VARCHAR,255,,
Warehouse Movement,Warehouse_IsVirtual,Attribute,Warehouse,Warehouse,IsVirtual,IsVirtual,Warehouse_Warehouse,,Specifies whether the warehouse is a physical or a virtual one,"Y, N",,,False,False,False,False,False,UpToDate,,,ISVIRTUAL,VARCHAR,255,,
Warehouse Movement,in_Quarter,Attribute,in,Time,Quarter,Quarter,in_Month In Year,,A specific quarter,"Q1 14, Q2 14, Q3 14, Q4 14",,,False,False,False,False,False,UpToDate,,,QUARTER,VARCHAR,255,,
Warehouse Movement,in_Semester,Attribute,in,Time,Semester,Semester,in_Quarter,,A specific semester,"S1 14, S2 14",,,False,False,False,False,False,UpToDate,,,SEMESTER,VARCHAR,255,,
Warehouse Movement,in_4-Month Period,Attribute,in,Time,4-Month Period,4-Month Period,in_Month In Year,,,"3MP1 13, 3MP2 13, 3MP3 14",,,False,False,False,False,False,UpToDate,,,_4_MONTH_PERIOD,VARCHAR,255,,
Warehouse Movement,Warehouse_City,Attribute,Warehouse,Warehouse,City,City,Warehouse_Warehouse,,A specific city or town,"Rome, London, Miami",,,False,False,False,False,False,UpToDate,,,CITY,VARCHAR,255,,
Warehouse Movement,Warehouse_County,Attribute,Warehouse,Warehouse,County,County,Warehouse_City,,The county where a city belongs (if specified),"Monterey, Orange",,,True,False,False,False,False,UpToDate,,,COUNTY,VARCHAR,255,,
Warehouse Movement,Warehouse_State,Attribute,Warehouse,Warehouse,State,State,Warehouse_County,,The state where a city belongs (for USA only),"Florida, California",,,True,False,False,False,False,UpToDate,,,STATE,VARCHAR,255,,
Warehouse Movement,Warehouse_Country,Attribute,Warehouse,Warehouse,Country,Country,Warehouse_State,,The nation of a city,"Italy, UK, USA",,,False,False,False,False,False,UpToDate,,,COUNTRY,VARCHAR,255,,
Warehouse Movement,Warehouse_Area,Attribute,Warehouse,Warehouse,Area,Area,Warehouse_Country,,The geographic area of a state,"North Europe, North America",,,False,False,False,False,False,UpToDate,,,AREA,VARCHAR,255,,
Warehouse Movement,in_Month,Attribute,in,Time,Month,Month,in_Month In Year,,A generic month,"Jan, Feb, Mar",,,False,False,False,False,False,UpToDate,,,MONTH,VARCHAR,255,,
Warehouse Movement,Product_SKU,Attribute,Product,Product,SKU,SKU,FACT,,Stock keeping unit,"Sneakers British Knight Leather Red M, Sneakers British Knight Suede Brown XL, Sneakers Sporty Lady Faux Leather White S","These attributes include, but are not limited to, product description, material, color, size.
Can also refer to a unique identifier or code that refers to the particular stock keeping unit",,False,False,False,False,False,UpToDate,,,SKU,VARCHAR,255,,
Warehouse Movement,Product_Subtype,Attribute,Product,Product,Subtype,Subtype,Product_SKU,,A classification of products,"Lady Sports Multipurpose Footwear, Lady Sandals Casual Footwear, Man Leathers Formal Footwear",,,False,False,False,False,False,UpToDate,,,SUBTYPE,VARCHAR,255,,
Warehouse Movement,Product_Type,Attribute,Product,Product,Type,Type,Product_Subtype,,A classification of products,"Coats, casual, suits",,,False,False,False,False,False,UpToDate,,,TYPE,VARCHAR,255,,
Warehouse Movement,Product_Category,Attribute,Product,Product,Category,Category,Product_Type,,A classification of products,"Footwear, apparel, accessories",,,False,False,False,False,False,UpToDate,,,CATEGORY,VARCHAR,255,,
Warehouse Movement,Product_Customer Type,Attribute,Product,Product,Customer Type,Customer Type,Product_Subtype,,The type of customer the product is targeted to,"Junior, baby, adult",,,False,False,False,False,False,UpToDate,,,CUSTOMER_TYPE,VARCHAR,255,,
Warehouse Movement,Product_Age Range,Attribute,Product,Product,Age Range,Age Range,Product_Customer Type,,,"1-5, 6-10, 11-16",,,False,False,True,False,False,UpToDate,,,AGE_RANGE,VARCHAR,255,,
Warehouse Movement,Product_Customer Gender,Attribute,Product,Product,Customer Gender,Customer Gender,Product_SKU,,The gender the product is targeted to,"Male, female, unisex",,,False,False,False,False,False,UpToDate,,,CUSTOMER_GENDER,VARCHAR,255,,
Warehouse Movement,Product_Size,Attribute,Product,Product,Size,Size,Product_SKU,,The size of the product,"S, M, L, XL",,,False,False,False,False,False,UpToDate,,,SIZE,VARCHAR,255,,
Warehouse Movement,Product_Color,Attribute,Product,Product,Color,Color,Product_SKU,,The specific color of the product,"Dark blu, light blu",,,False,False,False,False,False,UpToDate,,,COLOR,VARCHAR,255,,
Warehouse Movement,Product_Macro Color,Attribute,Product,Product,Macro Color,Macro Color,Product_Color,,A group of colors,"Blu, red",,,False,False,False,False,False,UpToDate,,,MACRO_COLOR,VARCHAR,255,,
Warehouse Movement,Product_Brand,Attribute,Product,Product,Brand,Brand,Product_SKU,,The brand of the product,,,,False,False,False,False,False,UpToDate,,,BRAND,VARCHAR,255,,
Warehouse Movement,Product_Brand Group,Attribute,Product,Product,Brand Group,Brand Group,Product_Brand,,A group of brands,,,,False,False,False,False,False,UpToDate,,,BRAND_GROUP,VARCHAR,255,,
Warehouse Movement,Product_Made In,Attribute,Product,Product,Made In,Made In,Product_SKU,,The country where the product has been manufactured,"China, Korea",,,False,False,False,False,False,UpToDate,,,MADE_IN,VARCHAR,255,,
Warehouse Movement,,Arc,,,,in,FACT,in_Date,,,,False,False,,,,,,,,,,,,
Warehouse Movement,,Arc,,,,out,FACT,in_Date,,,,False,False,,,,,,,,,,,,
Warehouse Movement,,Arc,,,,,in_Semester,in_Year,,,,False,False,,,,,,,,,,,,
Warehouse Movement,,Arc,,,,,Warehouse_Warehouse,Warehouse_Warehouse Type,,,,False,True,,,,,,,,,,,,
Warehouse Movement,,Arc,,,,,in_4-Month Period,in_Year,,,,False,False,,,,,,,,,,,,
Warehouse Stock,Product_SKU,Attribute,Product,Product,SKU,SKU,FACT,,Stock keeping unit,"Sneakers British Knight Leather Red M, Sneakers British Knight Suede Brown XL, Sneakers Sporty Lady Faux Leather White S","These attributes include, but are not limited to, product description, material, color, size.
Can also refer to a unique identifier or code that refers to the particular stock keeping unit",,False,False,False,False,False,UpToDate,,,SKU,VARCHAR,255,,
Warehouse Stock,Product_Subtype,Attribute,Product,Product,Subtype,Subtype,Product_SKU,,A classification of products,"Lady Sports Multipurpose Footwear, Lady Sandals Casual Footwear, Man Leathers Formal Footwear",,,False,False,False,False,False,UpToDate,,,SUBTYPE,VARCHAR,255,,
Warehouse Stock,Product_Type,Attribute,Product,Product,Type,Type,Product_Subtype,,A classification of products,"Coats, casual, suits",,,False,False,False,False,False,UpToDate,,,TYPE,VARCHAR,255,,
Warehouse Stock,Product_Customer Type,Attribute,Product,Product,Customer Type,Customer Type,Product_Subtype,,The type of customer the product is targeted to,"Junior, baby, adult",,,False,False,False,False,False,UpToDate,,,CUSTOMER_TYPE,VARCHAR,255,,
Warehouse Stock,Product_Customer Gender,Attribute,Product,Product,Customer Gender,Customer Gender,Product_SKU,,The gender the product is targeted to,"Male, female, unisex",,,False,False,False,False,False,UpToDate,,,CUSTOMER_GENDER,VARCHAR,255,,
Warehouse Stock,Product_Category,Attribute,Product,Product,Category,Category,Product_Type,,A classification of products,"Footwear, apparel, accessories",,,False,False,False,False,False,UpToDate,,,CATEGORY,VARCHAR,255,,
Warehouse Stock,Merchandise Type_Merchandise Type,Attribute,Merchandise Type,,,Merchandise Type,FACT,,"Includes disciplines and discounting, physical presentation of products and displays, etc.","Football UK Teams, Disney Toons, Far West Men wears ",,,False,False,False,False,False,UpToDate,,,MERCHANDISE_TYPE,VARCHAR,255,,
Warehouse Stock,Time_Date,Attribute,Time,Time,Date,Date,FACT,,A specific day,"01-01-2014, 01-02-2014, 01-03-2014",,,False,False,False,False,False,UpToDate,,,DATE,VARCHAR,255,,
Warehouse Stock,Time_Month In Year,Attribute,Time,Time,Month In Year,Month In Year,Time_Date,,A specific month,"Jan 14, Feb 14, Mar 15",,,False,False,False,False,False,UpToDate,,,MONTH_IN_YEAR,VARCHAR,255,,
Warehouse Stock,Time_Year,Attribute,Time,Time,Year,Year,,,A specific year,"2013, 2014, 2015",,,False,False,False,False,True,UpToDate,,,YEAR,VARCHAR,255,,
Warehouse Stock,Time_Week,Attribute,Time,Time,Week,Week,Time_Date,,A specific week,"W1, W2, W3",A week can be stay in two differents months,,False,False,False,False,False,UpToDate,,,WEEK,VARCHAR,255,,
Warehouse Stock,Warehouse_Warehouse,Attribute,Warehouse,Warehouse,Warehouse,Warehouse,FACT,,The warehouse where a product is stored,,,,False,False,False,False,False,UpToDate,,,WAREHOUSE,VARCHAR,255,,
Warehouse Stock,Warehouse_Warehouse Type,Attribute,Warehouse,Warehouse,Warehouse Type,Warehouse Type,,,A classification of warehouses,"Third party warehouse, POP, Stock Production, Other",,,False,False,False,False,False,UpToDate,,,WAREHOUSE_TYPE,VARCHAR,255,,
Warehouse Stock,Warehouse_IsVirtual,Attribute,Warehouse,Warehouse,IsVirtual,IsVirtual,Warehouse_Warehouse,,Specifies whether the warehouse is a physical or a virtual one,"Y, N",,,False,False,False,False,False,UpToDate,,,ISVIRTUAL,VARCHAR,255,,
Warehouse Stock,Time_Quarter,Attribute,Time,Time,Quarter,Quarter,Time_Month In Year,,A specific quarter,"Q1 14, Q2 14, Q3 14, Q4 14",,,False,False,False,False,False,UpToDate,,,QUARTER,VARCHAR,255,,
Warehouse Stock,Time_Semester,Attribute,Time,Time,Semester,Semester,Time_Quarter,,A specific semester,"S1 14, S2 14",,,False,False,False,False,False,UpToDate,,,SEMESTER,VARCHAR,255,,
Warehouse Stock,Time_4-Month Period,Attribute,Time,Time,4-Month Period,4-Month Period,Time_Month In Year,,,"3MP1 13, 3MP2 13, 3MP3 14",,,False,False,False,False,False,UpToDate,,,_4_MONTH_PERIOD,VARCHAR,255,,
Warehouse Stock,Warehouse_City,Attribute,Warehouse,Warehouse,City,City,Warehouse_Warehouse,,A specific city or town,"Rome, London, Miami",,,False,False,False,False,False,UpToDate,,,CITY,VARCHAR,255,,
Warehouse Stock,Warehouse_County,Attribute,Warehouse,Warehouse,County,County,Warehouse_City,,The county where a city belongs (if specified),"Monterey, Orange",,,True,False,False,False,False,UpToDate,,,COUNTY,VARCHAR,255,,
Warehouse Stock,Warehouse_State,Attribute,Warehouse,Warehouse,State,State,Warehouse_County,,The state where a city belongs (for USA only),"Florida, California",,,True,False,False,False,False,UpToDate,,,STATE,VARCHAR,255,,
Warehouse Stock,Warehouse_Country,Attribute,Warehouse,Warehouse,Country,Country,Warehouse_State,,The nation of a city,"Italy, UK, USA",,,False,False,False,False,False,UpToDate,,,COUNTRY,VARCHAR,255,,
Warehouse Stock,Product_Size,Attribute,Product,Product,Size,Size,Product_SKU,,The size of the product,"S, M, L, XL",,,False,False,False,False,False,UpToDate,,,SIZE,VARCHAR,255,,
Warehouse Stock,Product_Color,Attribute,Product,Product,Color,Color,Product_SKU,,The specific color of the product,"Dark blu, light blu",,,False,False,False,False,False,UpToDate,,,COLOR,VARCHAR,255,,
Warehouse Stock,Warehouse_Area,Attribute,Warehouse,Warehouse,Area,Area,Warehouse_Country,,The geographic area of a state,"North Europe, North America",,,False,False,False,False,False,UpToDate,,,AREA,VARCHAR,255,,
Warehouse Stock,Product_Macro Color,Attribute,Product,Product,Macro Color,Macro Color,Product_Color,,A group of colors,"Blu, red",,,False,False,False,False,False,UpToDate,,,MACRO_COLOR,VARCHAR,255,,
Warehouse Stock,Product_Age Range,Attribute,Product,Product,Age Range,Age Range,Product_Customer Type,,,"1-5, 6-10, 11-16",,,False,False,True,False,False,UpToDate,,,AGE_RANGE,VARCHAR,255,,
Warehouse Stock,Product_Brand,Attribute,Product,Product,Brand,Brand,Product_SKU,,The brand of the product,,,,False,False,False,False,False,UpToDate,,,BRAND,VARCHAR,255,,
Warehouse Stock,Product_Brand Group,Attribute,Product,Product,Brand Group,Brand Group,Product_Brand,,A group of brands,,,,False,False,False,False,False,UpToDate,,,BRAND_GROUP,VARCHAR,255,,
Warehouse Stock,Time_Month,Attribute,Time,Time,Month,Month,Time_Month In Year,,A generic month,"Jan, Feb, Mar",,,False,False,False,False,False,UpToDate,,,MONTH,VARCHAR,255,,
Warehouse Stock,Product_Made In,Attribute,Product,Product,Made In,Made In,Product_SKU,,The country where the product has been manufactured,"China, Korea",,,False,False,False,False,False,UpToDate,,,MADE_IN,VARCHAR,255,,
Warehouse Stock,,Arc,,,,,Time_Semester,Time_Year,,,,False,False,,,,,,,,,,,,
Warehouse Stock,,Arc,,,,,Warehouse_Warehouse,Warehouse_Warehouse Type,,,,False,True,,,,,,,,,,,,
Warehouse Stock,,Arc,,,,,Time_4-Month Period,Time_Year,,,,False,False,,,,,,,,,,,,
Agent,Agent_Agent,Attribute,Agent,,,Agent,FACT,,A salesman who covers a geographic area ,"Michael Baldi, John Carrie, Steve Gorini","This hierarchy includes agents and derived agents.
The connection between Agent and Area Manager is maintained by a procedure on the DW",,False,False,False,False,False,UpToDate,,,AGENT,VARCHAR,255,,
Agent,Agent_Area Manager,Attribute,Agent,,,Area Manager,Agent_Agent,,An agent who manages and coordinates other agents,"Mark White, John Green",,,False,False,False,False,False,UpToDate,,,AREA_MANAGER,VARCHAR,255,,
Agent,Agent_Controller,Attribute,Agent,,,Controller,,,Agent supervisors who periodically check agents on a random basis,,,,False,False,False,False,False,UpToDate,,,CONTROLLER,VARCHAR,255,,
Agent,,Arc,,,,,Agent_Agent,Agent_Controller,,,,True,False,,,,,,,,,,,,
Time,Date_Date,Attribute,Date,,,Date,FACT,,A specific day,"01-01-2014, 01-02-2014, 01-03-2014",,,False,False,False,False,False,UpToDate,,,DATE,VARCHAR,255,,
Time,Date_Month In Year,Attribute,Date,,,Month In Year,Date_Date,,A specific month,"Jan 14, Feb 14, Mar 15",,,False,False,False,False,False,UpToDate,,,MONTH_IN_YEAR,VARCHAR,255,,
Time,Date_Year,Attribute,Date,,,Year,,,A specific year,"2013, 2014, 2015",,,False,False,False,False,True,UpToDate,,,YEAR,VARCHAR,255,,
Time,Date_Week,Attribute,Date,,,Week,Date_Date,,A specific week,"W1, W2, W3",A week can be stay in two differents months,,False,False,False,False,False,UpToDate,,,WEEK,VARCHAR,255,,
Time,Date_Quarter,Attribute,Date,,,Quarter,Date_Month In Year,,A specific quarter,"Q1 14, Q2 14, Q3 14, Q4 14",,,False,False,False,False,False,UpToDate,,,QUARTER,VARCHAR,255,,
Time,Date_Semester,Attribute,Date,,,Semester,Date_Quarter,,A specific semester,"S1 14, S2 14",,,False,False,False,False,False,UpToDate,,,SEMESTER,VARCHAR,255,,
Time,Date_4-Month Period,Attribute,Date,,,4-Month Period,Date_Month In Year,,,"3MP1 13, 3MP2 13, 3MP3 14",,,False,False,False,False,False,UpToDate,,,_4_MONTH_PERIOD,VARCHAR,255,,
